model,rmse,mae,mape,elapsed
Temp Regression (linear+dow+month),0.046039840206498095,0.031977617220964136,0.4827165335406689,0.029648780822753906
Temp Only Regression,0.04896608071308372,0.0334865288609567,0.5218766708652363,0.010745108127593994
Rolling Mean (30d),0.05575481117570137,0.047334080022015584,0.9525906598442386,0.0
"HW (add_damped, add, 7d)",0.05638453157088249,0.047042023850278454,1.1192547643595485,0.17028939723968506
"ARIMA(2,1,1)",0.05646936592141561,0.04801482529852328,1.0625057715164423,0.12679284811019897
Rolling Mean (7d),0.06034282272427184,0.05219327905974502,1.168687792163348,0.0
"ARIMA(1,1,1)",0.061213914135415076,0.05263765670420415,1.1359211725105345,0.12288236618041992
Seasonal Naive (7d),0.06253989238547016,0.05346820697891293,1.19403881517632,0.0
"SARIMA(1,1,1)(1,0,1,7)",0.06338030495704025,0.05477520812586131,1.1828369419816473,0.3944398760795593
Rolling Mean (14d),0.06534118737487025,0.05663702802895099,1.2478211943075788,0.0
"HW (add, mul, 7d)",0.06582308426461865,0.0526009621538796,1.1977622121490972,0.155612051486969
Seasonal Naive (30d),0.06703654060070557,0.05396117266274439,1.0371704094122762,0.0
"HW (add, add, 7d)",0.06758324114716467,0.05202852837650115,0.9917018476731034,0.16211622953414917
Global Mean,0.07808983525442077,0.06919697615412135,1.4708543980618125,0.0
Seasonal Naive Mean (7d),0.07842131136120925,0.06931475922161717,1.4704122431207765,0.0
"HW (add, add, 30d)",0.08865061975548563,0.0679356757023098,1.2098642701442568,0.1999659538269043
Auto-ARIMA (best AIC),5.586400019185495,2.7239126046707267,102.12895548829958,1.241852581501007
